EtOH,10min,20min,30min,40min,50min,60min
0,100,100,100,50,80,80
171.3,100,100,100,100,66.66667,66.66667
428.3,100,84.61538,100,38.46154,40,33.33333
856.6,27.27273,27.27273,16.67,8.333333,16.66667,7.692308
1284.9,0,9.090909,0,0,0,0
1713.2,0,0,0,0,0,0
